"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2093","+low",120,0.43,0.14,0.43,0.448514851485149,0.112772277227723,0.438712871287129,0.21,"89.8904482519547",1.19500407564773
"event.times2094","full",120,0,0.42,0.58,0,0.307326732673267,0.692673267326733,0.48,"58.1714175259507",1.41928555730648
"event.times2095","low.var",120,0.83,0,0.17,0.87970297029703,0,0.12029702970297,0.01,"0",0.762725047084841
"event.times2096","+high",120,0,0.64,0.36,0,0.519009900990099,0.480990099009901,0.7,"38.1590983380897",1.35784212078987
"event.times2097","+low",120,0.17,0.16,0.67,0.199009900990099,0.136930693069307,0.664059405940594,0.31,"175.628047334926",1.01057731563261
"event.times2098","full",120,0,0.29,0.71,0,0.268217821782178,0.731782178217822,0.47,"134.283182468542",1.64266419081684
"event.times2099","low.var",120,0.09,0.25,0.66,0.111485148514851,0.245940594059406,0.642574257425743,0.51,"150.917922946736",1.0548886667184
"event.times2100","+high",120,0,0.53,0.47,0,0.548415841584158,0.451584158415842,0.68,"103.441677537489",1.39872682065656
"event.times2101","+low",120,0.75,0,0.25,0.695148514851485,0,0.304851485148515,0.01,"0",0.5042050609588
"event.times2102","full",120,0,0.33,0.67,0,0.365247524752475,0.634752475247525,0.49,"125.417780152721",0.719029667503256
"event.times2103","low.var",120,0.16,0.45,0.39,0.20970297029703,0.40960396039604,0.380693069306931,0.48,"152.696175683537",1.04194442336453
"event.times2104","+high",120,0,0.46,0.54,0,0.486138613861386,0.513861386138614,0.67,"66.881999990816",1.730667279381
"event.times2105","+low",120,0.15,0.05,0.8,0.166930693069307,0.0567326732673267,0.776336633663366,0.21,"149.45143639855",0.563080578687479
"event.times2106","full",120,0,0.22,0.78,0,0.340990099009901,0.659009900990099,0.48,"104.016544444708",1.59478009879221
"event.times2107","low.var",120,0.12,0.37,0.51,0.086039603960396,0.297128712871287,0.616831683168317,0.43,"136.444602653356",0.988944437324478
"event.times2108","+high",120,0,0.5,0.5,0,0.511089108910891,0.488910891089109,0.66,"35.1121708824878",1.06113925640023
"event.times2109","+low",120,0.54,0.11,0.35,0.559306930693069,0.0413861386138614,0.399306930693069,0.25,"68.8603368042023",0.975373451307052
"event.times2110","full",120,0,0.23,0.77,0,0.231980198019802,0.768019801980198,0.49,"76.0578851006525",1.53708116486723
"event.times2111","low.var",120,0.81,0,0.19,0.833564356435644,0,0.166435643564356,0.01,"0",0.807055952281406
"event.times2112","+high",120,0,0.65,0.35,0,0.610990099009901,0.389009900990099,0.74,"101.356906754081",0.964373941119215
"event.times2113","+low",120,0.74,0,0.26,0.678613861386139,0,0.321386138613861,0.01,"0",1.15357113898032
"event.times2114","full",120,0,0.31,0.69,0,0.319108910891089,0.680891089108911,0.54,"98.0305206532815",1.28138373871856
"event.times2115","low.var",120,0,0.26,0.74,0,0.226930693069307,0.773069306930693,0.49,"102.123250071341",0.932374675137821
"event.times2116","+high",120,0,0.4,0.6,0,0.495445544554455,0.504554455445545,0.73,"50.4315774780688",1.31775100572629
"event.times2117","+low",120,0.35,0.12,0.53,0.370792079207921,0.0936633663366337,0.535544554455446,0.26,"127.682960442342",0.736698076637954
"event.times2118","full",120,0.04,0.29,0.67,0.0447524752475248,0.267524752475248,0.687722772277228,0.45,"84.1454707821605",0.86089620485018
"event.times2119","low.var",120,0.24,0.24,0.52,0.25,0.211287128712871,0.538712871287129,0.49,"93.9721991896743",1.01873470433843
"event.times2120","+high",120,0,0.71,0.29,0,0.60980198019802,0.39019801980198,0.72,"134.513980131647",0.929627736655235
"event.times2121","+low",120,0.38,0.13,0.49,0.452079207920792,0.115346534653465,0.432574257425743,0.15,"208.040497890647",0.752476393709799
"event.times2122","full",120,0.77,0,0.23,0.748613861386139,0,0.251386138613861,0.01,"0",0.369264530951699
"event.times2123","low.var",120,0.38,0.21,0.41,0.330891089108911,0.253366336633663,0.415742574257426,0.45,"66.1997661826227",1.21655166091534
"event.times2124","+high",120,0,0.62,0.38,0,0.609108910891089,0.390891089108911,0.71,"88.2302864536129",0.964180080210305
"event.times2125","+low",120,0.49,0,0.51,0.648019801980198,0,0.351980198019802,0.01,"0",0.712716530021159
"event.times2126","full",120,0,0.3,0.7,0,0.30950495049505,0.69049504950495,0.51,"86.89778950406",1.69465936848877
"event.times2127","low.var",120,0.29,0.41,0.3,0.331782178217822,0.30950495049505,0.358712871287129,0.5,"100.531765263571",1.18072336157617
"event.times2128","+high",120,0,0.62,0.38,0,0.60990099009901,0.39009900990099,0.72,"90.254066137198",1.32824873925624
"event.times2129","+low",120,0.24,0.14,0.62,0.254158415841584,0.0825742574257426,0.663267326732673,0.21,"194.739976957902",0.871240918950853
"event.times2130","full",120,0.05,0.2,0.75,0.0356435643564356,0.219009900990099,0.745346534653465,0.44,"132.797798961199",1.37463985892654
"event.times2131","low.var",120,0.24,0.4,0.36,0.224950495049505,0.384851485148515,0.39019801980198,0.51,"101.332175925646",1.00832592335016
"event.times2132","+high",120,0,0.45,0.55,0,0.51950495049505,0.48049504950495,0.69,"82.524656167035",1.03047229362293
"event.times2133","+low",120,0.39,0.09,0.52,0.363069306930693,0.0930693069306931,0.543861386138614,0.27,"57.0509625616915",1.1672528795582
"event.times2134","full",120,0,0.31,0.69,0,0.34029702970297,0.65970297029703,0.46,"71.1366770641308",1.37014479149611
"event.times2135","low.var",120,0.19,0.32,0.49,0.192772277227723,0.305049504950495,0.502178217821782,0.58,"89.7424612954829",1.17409059691061
"event.times2136","+high",120,0,0.54,0.46,0,0.45029702970297,0.54970297029703,0.73,"115.064846746167",1.09686807230238
"event.times2137","+low",120,0.48,0.06,0.46,0.478613861386139,0.0720792079207921,0.449306930693069,0.23,"138.416913545345",0.91648896506868
"event.times2138","full",120,0,0.27,0.73,0,0.229009900990099,0.770990099009901,0.42,"62.1573112348695",1.29987424161089
"event.times2139","low.var",120,0,0.24,0.76,0,0.257821782178218,0.742178217821782,0.46,"89.5950290135141",0.823472246144612
"event.times2140","+high",120,0,0.5,0.5,0,0.534455445544554,0.465544554455446,0.74,"90.4919375560175",1.02489290258248
"event.times2141","+low",120,0.61,0,0.39,0.699306930693069,0,0.300693069306931,0.01,"0",0.671182204162961
"event.times2142","full",120,0.06,0.27,0.67,0.0648514851485149,0.306336633663366,0.628811881188119,0.5,"159.755950181353",1.49597181467604
"event.times2143","low.var",120,0.3,0.3,0.4,0.318415841584158,0.277524752475248,0.404059405940594,0.43,"147.481173266276",0.82291531334213
"event.times2144","+high",120,0,0.5,0.5,0,0.5,0.5,0.61,"128.69750632237",1.33950876430094
"event.times2145","+low",120,0.45,0.03,0.52,0.387128712871287,0.0664356435643564,0.546435643564356,0.25,"116.768484049484",1.12298169478696
"event.times2146","full",120,0,0.39,0.61,0,0.349207920792079,0.650792079207921,0.45,"207.920243780812",0.475609414903737
"event.times2147","low.var",120,0.07,0.46,0.47,0.117128712871287,0.454851485148515,0.428019801980198,0.54,"132.710568460575",1.22257977133379
"event.times2148","+high",120,0,0.43,0.57,0,0.43019801980198,0.56980198019802,0.72,"116.750290797229",1.6717127893442
"event.times2149","+low",120,0.33,0.12,0.55,0.363168316831683,0.112178217821782,0.524653465346535,0.24,"120.500005135798",1.06850440889171
"event.times2150","full",120,0,0.23,0.77,0,0.218316831683168,0.781683168316832,0.45,"138.909817858578",0.846891948837838
"event.times2151","low.var",120,0.24,0.28,0.48,0.193861386138614,0.25990099009901,0.546237623762376,0.44,"67.969605546901",0.902216334423847
"event.times2152","+high",120,0,0.6,0.4,0,0.534653465346535,0.465346534653465,0.74,"97.0691493099006",1.13657993579411
