"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2228","+high",120,0,0.4,0.6,0,0.425940594059406,0.574059405940594,0.59,"83.2812866747373",1.32594008614813
"event.times2229","+low",120,0.39,0.16,0.45,0.394158415841584,0.114752475247525,0.491089108910891,0.35,"136.823817935774",1.2312218114664
"event.times2230","full",120,0.07,0.34,0.59,0.0811881188118812,0.266138613861386,0.652673267326733,0.48,"150.249007955851",0.561851371999368
"event.times2231","low.var",120,0.16,0.25,0.59,0.177029702970297,0.342673267326733,0.48029702970297,0.47,"105.275346681316",1.05000650436404
"event.times2232","+high",120,0,0.43,0.57,0,0.410594059405941,0.589405940594059,0.57,"120.473334499787",1.1582520063012
"event.times2233","+low",120,0.53,0.07,0.4,0.507326732673267,0.0851485148514852,0.407524752475247,0.25,"218.325225292437",0.449321738077647
"event.times2234","full",120,0.2,0.34,0.46,0.158415841584158,0.308712871287129,0.532871287128713,0.45,"70.2436314567771",0.255212558122376
"event.times2235","low.var",120,0.18,0.31,0.51,0.165346534653465,0.329207920792079,0.505445544554455,0.46,"54.2697678145675",1.0092937148675
"event.times2236","+high",120,0,0.28,0.72,0,0.326336633663366,0.673663366336634,0.58,"105.351073518265",1.01347856153485
"event.times2237","+low",120,0.26,0.2,0.54,0.315247524752475,0.223960396039604,0.460792079207921,0.37,"64.1781425320168",1.19904109737654
"event.times2238","full",120,0.24,0.26,0.5,0.183762376237624,0.287227722772277,0.529009900990099,0.55,"132.760154477317",0.358674173876183
"event.times2239","low.var",120,0.22,0.21,0.57,0.28039603960396,0.179207920792079,0.54039603960396,0.44,"157.061043992585",0.803924287300048
"event.times2240","+high",120,0,0.51,0.49,0,0.553168316831683,0.446831683168317,0.63,"89.5746479920726",1.56437869320582
"event.times2241","+low",120,0.32,0.21,0.47,0.249405940594059,0.194752475247525,0.555841584158416,0.34,"103.211530364834",1.02524131347549
"event.times2242","full",120,0,0,1,0,0.082970297029703,0.917029702970297,0.45,"118.257751835297",1.32802305571913
"event.times2243","low.var",120,0.11,0.32,0.57,0.117128712871287,0.357722772277228,0.525148514851485,0.51,"80.1234396193673",0.957499955902669
"event.times2244","+high",120,0.01,0.43,0.56,0.0286138613861386,0.494950495049505,0.476435643564356,0.67,"151.336428151802",0.966475400550218
"event.times2245","+low",120,0.22,0.16,0.62,0.213465346534653,0.202376237623762,0.584158415841584,0.35,"110.227028203194",0.786371342964424
"event.times2246","full",120,0.05,0.44,0.51,0.0712871287128713,0.398613861386139,0.53009900990099,0.44,"169.492148262487",1.30452200115956
"event.times2247","low.var",120,0,0,1,0,0.132475247524752,0.867524752475248,0.44,"90.5572226283628",0.994027727767756
"event.times2248","+high",120,0,0.35,0.65,0,0.470792079207921,0.529207920792079,0.57,"60.0342644711132",1.06219491154406
"event.times2249","+low",120,0.29,0.16,0.55,0.306138613861386,0.198910891089109,0.494950495049505,0.35,"142.112827457018",0.86238167001899
"event.times2250","full",120,0.04,0.23,0.73,0.066039603960396,0.283861386138614,0.65009900990099,0.49,"82.0829120948067",0.685682063736234
"event.times2251","low.var",120,0.33,0.2,0.47,0.321881188118812,0.202376237623762,0.475742574257426,0.57,"74.6625594790847",1.22724594897365
"event.times2252","+high",120,0,0.39,0.61,0,0.371980198019802,0.628019801980198,0.54,"50.0424562862287",1.16780139678342
"event.times2253","+low",120,0.21,0.29,0.5,0.315841584158416,0.242772277227723,0.441386138613861,0.34,"100.930889670975",0.758825266787404
"event.times2254","full",120,0.03,0.25,0.72,0.029009900990099,0.31049504950495,0.660495049504951,0.45,"63.3183911026104",1.03200562774861
