"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2146","full",120,0.38,0.13,0.49,0.365643564356436,0.134950495049505,0.499405940594059,0.35,"178.888125048984",1.24640818214399
"event.times2147","low.var",120,0.33,0.19,0.48,0.325049504950495,0.200990099009901,0.473960396039604,0.33,"183.001462608995",0.938738415901008
"event.times2148","+high",120,0.92,0,0.08,0.90019801980198,0,0.0998019801980198,0.01,"0",0.768876794663924
"event.times2149","+low",120,0.52,0,0.48,0.526534653465347,0,0.473465346534653,0.01,"0",0.751299767539518
"event.times2150","full",120,0.05,0.14,0.81,0.0379207920792079,0.142178217821782,0.81990099009901,0.34,"193.32814085653",1.37870536728121
"event.times2151","low.var",120,0.27,0.2,0.53,0.273465346534653,0.163168316831683,0.563366336633663,0.25,"186.98210899462",0.757349967765592
"event.times2152","+high",120,0,0,1,0,0.11049504950495,0.88950495049505,0.58,"86.8853697044745",1.20852030681334
"event.times2153","+low",120,0.4,0,0.6,0.455049504950495,0,0.544950495049505,0.06,"129.313759590346",0.663280128395118
"event.times2154","full",120,0.2,0.14,0.66,0.193267326732673,0.111188118811881,0.695544554455445,0.28,"224.301609910917",1.28117582852611
"event.times2155","low.var",120,0.27,0.08,0.65,0.292871287128713,0.174059405940594,0.533069306930693,0.25,"221.981824769137",1.10599195149384
"event.times2156","+high",120,0.27,0.3,0.43,0.265544554455446,0.283663366336634,0.450792079207921,0.44,"163.817322388143",1.48427011804162
"event.times2157","+low",120,0.64,0,0.36,0.587524752475247,0,0.412475247524752,0.02,"1.20349568876753",0.521311329671975
"event.times2158","full",120,0.26,0.11,0.63,0.268415841584158,0.106930693069307,0.624653465346535,0.2,"199.300621892805",1.36432168981205
"event.times2159","low.var",120,0.23,0.14,0.63,0.202277227722772,0.164059405940594,0.633663366336634,0.28,"190.534354856268",1.0145608263531
"event.times2160","+high",120,0.09,0.22,0.69,0.101881188118812,0.226435643564356,0.671683168316832,0.55,"187.184958938365",1.29559793529837
"event.times2161","+low",120,0.42,0,0.58,0.466930693069307,0,0.533069306930693,0.04,"2.69396550522209",0.969253549046143
"event.times2162","full",120,0.46,0.08,0.46,0.455841584158416,0.0373267326732673,0.506831683168317,0.11,"263.776964208563",0.599092452367027
"event.times2163","low.var",120,0.49,0.1,0.41,0.499405940594059,0.0535643564356436,0.447029702970297,0.21,"152.269320660104",0.912045089932296
"event.times2164","+high",120,0.15,0.38,0.47,0.155247524752475,0.324752475247525,0.52,0.56,"167.189564626838",0.805231925221499
"event.times2165","+low",120,0.47,0,0.53,0.472178217821782,0,0.527821782178218,0.01,"0",0.505675033191932
